Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029940062,0.18291862,138.11704874038696,138.11704573780298,236.5
2000,1.4189383,0.0002982006,0.13872778,219.11535135904947,219.115346322457,150.33333333333334
3000,1.4189383,0.00029700057,0.25422308,165.3071789741516,165.30717352032661,119.625
4000,1.4189383,0.00029580062,0.17402416,238.3935305731637,238.39353103297097,148.85714285714286
5000,1.4189383,0.0002946006,0.22399895,249.29693349202475,249.29693521062532,162.33333333333334
6000,1.4189383,0.0002934006,0.11070607,196.7769634246826,196.77695909440519,183.2
7000,1.4189383,0.00029220062,0.21849084,68.39217681884766,68.3921832561493,194.8
8000,1.4189383,0.00029100062,0.06879738,234.8507932662964,234.85080005526544,193.2
9000,1.4189383,0.0002898006,0.18074284,305.66427955627444,305.66427689194677,199.4
10000,1.4189383,0.00028860063,0.24564202,187.2234951019287,187.2234919041395,170.6
11000,1.4189383,0.00028740062,0.22163923,281.23789367675784,281.2379030287266,220.0
12000,1.4189383,0.00028620064,0.17664261,185.994469165802,185.99447112778822,165.33333333333334
13000,1.4189383,0.00028500063,0.103588805,-146.1942493915558,-146.19424847513437,247.75
14000,1.4189383,0.00028380062,0.16031024,217.6646992365519,217.66470268617073,149.83333333333334
15000,1.4189383,0.00028260064,0.1585665,248.9583600362142,248.95835923651853,171.0
16000,1.4189383,0.00028140063,0.25604913,-16.08306058247884,-16.083058814207714,237.66666666666666
17000,1.4189383,0.00028020065,0.21402025,-35.21739273071289,-35.217387759685515,195.0
18000,1.4189383,0.0002790006,0.09049142,201.29814887046814,201.29814859728017,188.0
19000,1.4189383,0.00027780063,0.11931605,166.60301876068115,166.60301208070345,142.42857142857142
20000,1.4189383,0.00027660062,0.17825389,245.1263427734375,245.1263392652784,137.14285714285714
21000,1.4189383,0.00027540064,0.084092826,129.63958311080933,129.63957898318768,171.0
