Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029940062,0.12290807,62.94690144062042,62.94690156728029,305.5
2000,1.4189383,0.0002982006,0.09599252,6.983777806162834,6.983775746077299,325.75
3000,1.4189383,0.00029700057,-0.0320043,41.69147300720215,41.69147296746572,260.6666666666667
4000,1.4189383,0.00029580062,0.059244037,30.745052496592205,30.74505375077327,268.6666666666667
5000,1.4189383,0.0002946006,0.21559848,33.68283832073212,33.6828374043107,295.25
6000,1.4189383,0.0002934006,0.06809132,25.248915672302246,25.248915975292523,387.0
7000,1.4189383,0.00029220062,0.12834394,31.551737070083618,31.551736518740654,312.0
8000,1.4189383,0.00029100062,0.08287716,66.38131618499756,66.38131505250931,315.75
9000,1.4189383,0.0002898006,0.18207167,49.36200364430746,49.36200385540724,323.0
10000,1.4189383,0.00028860063,0.0013838586,33.4731502532959,33.47315002605319,262.25
11000,1.4189383,0.00028740062,-0.00715958,50.37525020043055,50.37524992227554,314.6666666666667
12000,1.4189383,0.00028620064,0.13170445,75.92325592041016,75.92325617124636,295.0
13000,1.4189383,0.00028500063,-0.026599301,53.95032993952433,53.95033245285352,321.3333333333333
14000,1.4189383,0.00028380062,0.044748336,-9.396815299987793,-9.396814670413733,323.0
15000,1.4189383,0.00028260064,0.11240344,60.03768688440323,60.03768793493509,405.5
